Respondent_ID,Age,Gender,Income_Level,Frequency_of_Consumption,Brand_Preference,Satisfaction_Level,Purchase_Location,Reason_for_Choice,Occasions_of_Buying,Most_Often_Consumed_Brand,Consumed_With,NPS_Score,Taste_Rating,Price_Rating,Packaging_Rating,Brand_Reputation_Rating,Availability_Rating,Sweetness_Rating,Fizziness_Rating
2,61,Male,Low,Monthly,Coke,Very Dissatisfied,Other,Brand Loyalty,Travel,Coke,With Family,7,1,5,2,5,4,2,1
39,22,Prefer Not to Say,High,Weekly,Coke,Satisfied,Online,Availability,Restaurants,Coke,With Family,0,1,5,2,5,4,2,3
60,27,Female,High,Rarely,Coke,Dissatisfied,Convenience Store,Other,Home,Coke,Alone,7,2,3,3,3,5,5,4
62,42,Non-Binary,Middle,Weekly,Coke,Neutral,Online,Other,Restaurants,Coke,With Friends,8,2,1,3,2,5,1,1
76,64,Non-Binary,Low,Never,Coke,Satisfied,Vending Machine,Taste,Sports Events,Coke,With Colleagues,1,3,4,5,5,4,2,1
84,37,Non-Binary,Middle,Daily,Coke,Neutral,Online,Brand Loyalty,Sports Events,Coke,Alone,5,2,4,2,4,3,5,2
90,48,Non-Binary,Low,Monthly,Coke,Neutral,Supermarket,Taste,Sports Events,Coke,With Family,0,5,2,3,3,4,2,4
109,40,Male,Low,Monthly,Coke,Neutral,Supermarket,Taste,Travel,Coke,With Colleagues,2,4,4,2,5,4,2,4
135,30,Prefer Not to Say,Low,Monthly,Coke,Very Dissatisfied,Convenience Store,Availability,Travel,Coke,Other,9,5,2,1,2,4,4,1
144,55,Female,Low,Monthly,Coke,Very Dissatisfied,Other,Price,Sports Events,Coke,Alone,9,1,5,4,2,1,2,4
145,34,Non-Binary,Low,Rarely,Coke,Dissatisfied,Supermarket,Brand Loyalty,Other,Coke,With Friends,7,1,5,1,4,5,1,2
154,61,Female,Low,Weekly,Coke,Very Satisfied,Online,Taste,Sports Events,Coke,Alone,5,3,3,1,4,4,5,3
158,24,Non-Binary,Low,Weekly,Coke,Very Dissatisfied,Vending Machine,Other,Home,Coke,Alone,0,1,2,1,3,1,5,5
162,51,Non-Binary,Low,Daily,Coke,Neutral,Vending Machine,Other,Restaurants,Coke,With Friends,4,5,4,2,2,2,3,5
199,41,Prefer Not to Say,High,Monthly,Coke,Satisfied,Vending Machine,Taste,Sports Events,Coke,Alone,5,5,2,3,2,2,3,3
278,50,Prefer Not to Say,Low,Never,Coke,Dissatisfied,Other,Other,Home,Coke,Other,5,4,3,4,5,4,3,5
291,52,Male,Low,Daily,Coke,Dissatisfied,Vending Machine,Availability,Parties,Coke,Other,8,1,4,2,4,1,5,3
296,23,Non-Binary,Middle,Rarely,Coke,Satisfied,Other,Other,Home,Coke,Other,2,4,1,4,3,5,2,2
308,58,Non-Binary,High,Weekly,Coke,Very Satisfied,Online,Other,Travel,Coke,Alone,10,5,1,3,5,4,2,5
